produto_id,feed_id,loja,nome,preco_atual,preco_anterior,preco_min,preco_max,primeira_vez,ultima_alteracao
41840754182,98680,Clovis Calçados BR,Tênis Casual Liberty Rainha RA0244 BRANCO/AZUL 39,99.99,99.99,99.99,99.99,2026-08-09,2026-08-09
41840754183,98680,Clovis Calçados BR,Tênis Casual Liberty Rainha RA0244 PRETO 34,99.99,99.99,99.99,99.99,2026-08-09,2026-08-09
41840754184,98680,Clovis Calçados BR,Sapato Masculino Social Bkarellus TR084 CAFÉ 38,99.99,99.99,99.99,99.99,2026-08-09,2026-08-09
41840754185,98680,Clovis Calçados BR,Tênis Infantil Feminino Molekinha 2583201 ROSA 26,99.99,99.99,99.99,99.99,2026-08-09,2026-08-09
41840754186,98680,Clovis Calçados BR,Sandália Feminina Anabela Usaflex MM0705 PRETO 34,149.99,149.99,149.99,149.99,2026-08-09,2026-08-09
41840754187,98680,Clovis Calçados BR,Tênis Infantil Feminino Molekinha 2584102 ROSA 26,99.99,99.99,99.99,99.99,2026-08-09,2026-08-09
41840754190,98680,Clovis Calçados BR,Tênis Feminino Casual Moleca 5809106 PRETO 34,99.99,99.99,99.99,99.99,2026-08-09,2026-08-09
41840754191,98680,Clovis Calçados BR,Tênis Feminino Casual Moleca 5816101 PRETO/NOBUCK 34,119.99,119.99,119.99,119.99,2026-08-09,2026-08-09
41840754192,98680,Clovis Calçados BR,Sandália Feminina Anabela Modare 7189112 PRETO 35,79.99,79.99,79.99,79.99,2026-08-09,2026-08-09
41840754193,98680,Clovis Calçados BR,Tênis Masculino Space 5 Mizuno 101034034 CINZA 38,349.99,349.99,349.99,349.99,2026-08-09,2026-08-09
41840754194,98680,Clovis Calçados BR,Sandália Feminina Salto Grosso Beira Rio 8436238 CAFÉ 34,99.99,99.99,99.99,99.99,2026-08-09,2026-08-09
41840754196,98680,Clovis Calçados BR,Tamanco Feminino Salto Grosso Moleca 5549104 PRETO 34,79.99,79.99,79.99,79.99,2026-08-09,2026-08-09
41840754197,98680,Clovis Calçados BR,Tênis Infantil Masculino Slip On Molekinho 2841227 MARINHO 29,99.99,99.99,99.99,99.99,2026-08-09,2026-08-09
41840754198,98680,Clovis Calçados BR,Sandália Feminina Flat Modare 7163132 CAMEL 34,79.99,79.99,79.99,79.99,2026-08-09,2026-08-09
41840754199,98680,Clovis Calçados BR,Sandália Feminina Flat Modare 7163132 MARFIM 34,79.99,79.99,79.99,79.99,2026-08-09,2026-08-09
41840754200,98680,Clovis Calçados BR,Sandália Feminina Flat Modare 7163132 PRETO 34,79.99,79.99,79.99,79.99,2026-08-09,2026-08-09
41840754201,98680,Clovis Calçados BR,Sandália Feminina Flat Modare 7163132 OLIVA 34,79.99,79.99,79.99,79.99,2026-08-09,2026-08-09
41840754202,98680,Clovis Calçados BR,Tênis Feminino Via Marte 1716501 OLIVA 35,149.99,149.99,149.99,149.99,2026-08-09,2026-08-09
41840754203,98680,Clovis Calçados BR,Tênis Feminino Via Marte 1716501 SALMÃO 34,149.99,149.99,149.99,149.99,2026-08-09,2026-08-09
41840754204,98680,Clovis Calçados BR,Tamanco Feminino Flat Moleca 5539105 MARFIM 34,79.99,79.99,79.99,79.99,2026-08-09,2026-08-09
41840754205,98680,Clovis Calçados BR,Tamanco Feminino Flat Moleca 5539105 SALMÃO 34,79.99,79.99,79.99,79.99,2026-08-09,2026-08-09
41840754206,98680,Clovis Calçados BR,Tamanco Feminino Flat Moleca 5539105 PRETO 34,79.99,79.99,79.99,79.99,2026-08-09,2026-08-09
41840754207,98680,Clovis Calçados BR,Sandália Feminina Salto Alto Vizzano - 62101037 PRATA 01 34,149.99,149.99,149.99,149.99,2026-08-09,2026-08-09
41840754208,98680,Clovis Calçados BR,Sandália Feminina Salto Grosso Moleca 5259846 PRATA 34,79.99,79.99,79.99,79.99,2026-08-09,2026-08-09
41840754209,98680,Clovis Calçados BR,Sapatilha Feminina Flat Usaflex MM0104 PRETO 34,149.99,149.99,149.99,149.99,2026-08-09,2026-08-09
41840754210,98680,Clovis Calçados BR,Tênis Feminino Casual Moleca 5605475 MARFIM 35,99.99,99.99,99.99,99.99,2026-08-09,2026-08-09
41840754211,98680,Clovis Calçados BR,Sapatênis Masculino Casual BRsport 2269109 BEGE 38,129.99,129.99,129.99,129.99,2026-08-09,2026-08-09
41840754213,98680,Clovis Calçados BR,Tênis Casual Mont Car Eco Rainha RA0080 VERMELHO 34,99.99,99.99,99.99,99.99,2026-08-09,2026-08-09
41846078830,98680,Clovis Calçados BR,Melissa Burn Sneaker 35733 LILÁS 33/34,119.99,119.99,119.99,119.99,2026-08-09,2026-08-09
41846078903,98680,Clovis Calçados BR,Sandália Feminina Todo Dia Elegante Grendha 18965 CAFÉ 33/34,19.99,19.99,19.99,19.99,2026-08-09,2026-08-09
41846078905,98680,Clovis Calçados BR,Bolsa Feminina Fuseco WBFT88228 CASTOR,79.99,79.99,79.99,79.99,2026-08-09,2026-08-09
41846078907,98680,Clovis Calçados BR,Bolsa Feminina Fuseco WBFT88228 CAQUI,79.99,79.99,79.99,79.99,2026-08-09,2026-08-09
41846078909,98680,Clovis Calçados BR,Bota Feminina Coturno Dakota DA131 PRETO 34,249.99,249.99,249.99,249.99,2026-08-09,2026-08-09
41846078910,98680,Clovis Calçados BR,Bota Feminina Coturno Dakota DA131 TAUPE 34,249.99,249.99,249.99,249.99,2026-08-09,2026-08-09
